Player 2 Alive on pool-1-thread-2
Player 2 Initial Hand 3 1 1 2 
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 2 from Deck 2
Player 2 Discards a 2 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 2 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 2 from Deck 2
Player 2 Discards a 2 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 2 from Deck 2
Player 2 Discards a 2 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 2 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 2 from Deck 2
Player 2 Discards a 2 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 2 from Deck 2
Player 2 Discards a 2 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 2 from Deck 2
Player 2 Discards a 2 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 2 from Deck 2
Player 2 Discards a 2 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 1 from Deck 2
Player 2 Discards a 1 to Deck 3
Player 2 Draws a 3 from Deck 2
Player 2 Discards a 3 to Deck 3
Player 2 Draws a 2 from Deck 2
Player 2 Discards a 2 to Deck 3
Player 2 has been informed by 3 of its victory
Player 2 Has Exited
Player 2 Final Hand 3 2 2 2 
